"id","full_date","year","month","month_name","day","day_name","three_months"
"1","2020-01-01","2020","1","January","1","Wednesday","2020-04-01"
"2","2020-01-02","2020","1","January","2","Thursday","2020-04-02"
"3","2020-01-03","2020","1","January","3","Friday","2020-04-03"
"4","2020-01-04","2020","1","January","4","Saturday","2020-04-04"
"5","2020-01-05","2020","1","January","5","Sunday","2020-04-05"
"6","2020-01-06","2020","1","January","6","Monday","2020-04-06"
"7","2020-01-07","2020","1","January","7","Tuesday","2020-04-07"
"8","2020-01-08","2020","1","January","8","Wednesday","2020-04-08"
"9","2020-01-09","2020","1","January","9","Thursday","2020-04-09"
"10","2020-01-10","2020","1","January","10","Friday","2020-04-10"
"11","2020-01-11","2020","1","January","11","Saturday","2020-04-11"
"12","2020-01-12","2020","1","January","12","Sunday","2020-04-12"
"13","2020-01-13","2020","1","January","13","Monday","2020-04-13"
"14","2020-01-14","2020","1","January","14","Tuesday","2020-04-14"
"15","2020-01-15","2020","1","January","15","Wednesday","2020-04-15"
"16","2020-01-16","2020","1","January","16","Thursday","2020-04-16"
"17","2020-01-17","2020","1","January","17","Friday","2020-04-17"
"18","2020-01-18","2020","1","January","18","Saturday","2020-04-18"
"19","2020-01-19","2020","1","January","19","Sunday","2020-04-19"
"20","2020-01-20","2020","1","January","20","Monday","2020-04-20"
"21","2020-01-21","2020","1","January","21","Tuesday","2020-04-21"
"22","2020-01-22","2020","1","January","22","Wednesday","2020-04-22"
"23","2020-01-23","2020","1","January","23","Thursday","2020-04-23"
"24","2020-01-24","2020","1","January","24","Friday","2020-04-24"
"25","2020-01-25","2020","1","January","25","Saturday","2020-04-25"
"26","2020-01-26","2020","1","January","26","Sunday","2020-04-26"
"27","2020-01-27","2020","1","January","27","Monday","2020-04-27"
"28","2020-01-28","2020","1","January","28","Tuesday","2020-04-28"
"29","2020-01-29","2020","1","January","29","Wednesday","2020-04-29"
"30","2020-01-30","2020","1","January","30","Thursday","2020-04-30"
"31","2020-01-31","2020","1","January","31","Friday","2020-04-30"
"32","2020-02-01","2020","2","February","1","Saturday","2020-05-01"
"33","2020-02-02","2020","2","February","2","Sunday","2020-05-02"
"34","2020-02-03","2020","2","February","3","Monday","2020-05-03"
"35","2020-02-04","2020","2","February","4","Tuesday","2020-05-04"
"36","2020-02-05","2020","2","February","5","Wednesday","2020-05-05"
"37","2020-02-06","2020","2","February","6","Thursday","2020-05-06"
"38","2020-02-07","2020","2","February","7","Friday","2020-05-07"
"39","2020-02-08","2020","2","February","8","Saturday","2020-05-08"
